Date,Open,High,Low,Close,Adj Close,Volume
2011-01-19,5832000.000000,6120000.000000,5793600.000000,6072000.000000,5585313.500000,1
2011-01-20,6216000.000000,6518400.000000,6182400.000000,6283200.000000,5779584.500000,1
2011-01-21,6120000.000000,6427200.000000,6091200.000000,6427200.000000,5912042.000000,0
2011-01-24,6336000.000000,6340800.000000,5923200.000000,5923200.000000,5448439.000000,0
2011-01-25,6024000.000000,6196800.000000,5952000.000000,6076800.000000,5589727.000000,1
2011-01-26,5990400.000000,6091200.000000,5860800.000000,5908800.000000,5435193.500000,1
2011-01-27,5803200.000000,5803200.000000,5534400.000000,5568000.000000,5121710.500000,1
2011-01-28,5520000.000000,6144000.000000,5481600.000000,6028800.000000,5545574.000000,1
2011-01-31,6019200.000000,6187200.000000,5856000.000000,5956800.000000,5479346.500000,0
2011-02-01,5779200.000000,5779200.000000,5424000.000000,5510400.000000,5068726.500000,1
2011-02-02,5558400.000000,5611200.000000,5337600.000000,5428800.000000,4993667.000000,1
2011-02-03,5414400.000000,5563200.000000,5380800.000000,5409600.000000,4976005.500000,0
2011-02-04,5376000.000000,5385600.000000,5073600.000000,5083200.000000,4675767.500000,1
2011-02-07,5030400.000000,5193600.000000,4958400.000000,5136000.000000,4724336.000000,1
2011-02-08,5145600.000000,5270400.000000,5112000.000000,5155200.000000,4741996.500000,1
2011-02-09,5222400.000000,5304000.000000,5150400.000000,5251200.000000,4830302.000000,1
2011-02-10,5419200.000000,5462400.000000,5184000.000000,5203200.000000,4786150.000000,1
2011-02-11,5222400.000000,5313600.000000,5016000.000000,5078400.000000,4671352.500000,0
2011-02-14,5030400.000000,5059200.000000,4848000.000000,4963200.000000,4565385.500000,1
2011-02-15,4972800.000000,5160000.000000,4972800.000000,5107200.000000,4697844.000000,0
2011-02-16,5011200.000000,5044800.000000,4896000.000000,4944000.000000,4547725.000000,0
2011-02-17,5001600.000000,5001600.000000,4694400.000000,4728000.000000,4349038.000000,1
2011-02-18,4699200.000000,4824000.000000,4689600.000000,4766400.000000,4384360.000000,1
2011-02-22,4992000.000000,5361600.000000,4982400.000000,5323200.000000,4896530.500000,1
2011-02-23,5342400.000000,5836800.000000,5284800.000000,5620800.000000,5170277.000000,1
2011-02-24,5544960.000000,5667840.000000,5306880.000000,5341440.000000,4913309.500000,1
2011-02-25,5184000.000000,5184000.000000,4923840.000000,4923840.000000,4529181.000000,2
2011-02-28,4832640.000000,5236800.000000,4832640.000000,5088960.000000,4681065.500000,2
2011-03-01,5044800.000000,5395200.000000,4991040.000000,5383680.000000,4952163.000000,2
2011-03-02,5399040.000000,5399040.000000,4956480.000000,5157120.000000,4743763.000000,3
2011-03-03,4972800.000000,4979520.000000,4811520.000000,4859520.000000,4470016.500000,1
